"","av","Time","SharePerHour","diaryday"
"37297","School / Study",807,0.5,"2"
"37298","School / Study",807,0.89,"3"
"37299","School / Study",807,8.5,"4"
"37300","Social leisure",807,13.91,"1"
"37301","Social leisure",807,17.23,"2"
"37302","Social leisure",807,17.51,"3"
"37303","Social leisure",807,13.91,"4"
"37304","Sport exercise",807,5.18,"1"
"37305","Sport exercise",807,6.1,"2"
"37306","Sport exercise",807,6.84,"3"
"37307","Sport exercise",807,4.91,"4"
"37308","TV/radio",807,8.46,"1"
"37309","TV/radio",807,8.16,"2"
"37310","TV/radio",807,10.29,"3"
"37311","TV/radio",807,7.93,"4"
"37312","Cultural leisure",808,2.63,"1"
"37313","Cultural leisure",808,2.58,"2"
"37314","Cultural leisure",808,4.14,"3"
"37315","Cultural leisure",808,2.43,"4"
"37316","Domestic work",808,12.55,"1"
"37317","Domestic work",808,13.81,"2"
"37318","Domestic work",808,10.76,"3"
"37319","Domestic work",808,11.9,"4"
"37320","Eat drink",808,11.36,"1"
"37321","Eat drink",808,12.42,"2"
"37322","Eat drink",808,20.41,"3"
"37323","Eat drink",808,11.68,"4"
"37324","Miscellaneous",808,3.42,"1"
"37325","Miscellaneous",808,4.31,"2"
"37326","Miscellaneous",808,5.31,"3"
"37327","Miscellaneous",808,4.07,"4"
"37328","Nonsocial leisure",808,6.82,"1"
"37329","Nonsocial leisure",808,8.28,"2"
"37330","Nonsocial leisure",808,9.47,"3"
"37331","Nonsocial leisure",808,5.7,"4"
"37332","Paid work",808,23.53,"1"
"37333","Paid work",808,20.95,"2"
"37334","Paid work",808,5.68,"3"
"37335","Paid work",808,24.5,"4"
"37336","Personal care",808,3.99,"1"
"37337","Personal care",808,4.88,"2"
"37338","Personal care",808,7.49,"3"
"37339","Personal care",808,3.79,"4"
"37340","Religion and volunteering",808,0.52,"1"
"37341","Religion and volunteering",808,0.77,"2"
"37342","Religion and volunteering",808,1.19,"3"
"37343","Religion and volunteering",808,0.64,"4"
"37344","School / Study",808,7.69,"1"
"37345","School / Study",808,0.5,"2"
"37346","School / Study",808,0.89,"3"
"37347","School / Study",808,8.5,"4"
"37348","Social leisure",808,13.91,"1"
"37349","Social leisure",808,17.23,"2"
"37350","Social leisure",808,17.51,"3"
"37351","Social leisure",808,13.91,"4"
"37352","Sport exercise",808,5.18,"1"
"37353","Sport exercise",808,6.1,"2"
"37354","Sport exercise",808,6.87,"3"
"37355","Sport exercise",808,4.93,"4"
"37356","TV/radio",808,8.41,"1"
"37357","TV/radio",808,8.16,"2"
"37358","TV/radio",808,10.29,"3"
"37359","TV/radio",808,7.93,"4"
"37360","Cultural leisure",809,2.63,"1"
"37361","Cultural leisure",809,2.58,"2"
"37362","Cultural leisure",809,4.14,"3"
"37363","Cultural leisure",809,2.43,"4"
"37364","Domestic work",809,12.55,"1"
"37365","Domestic work",809,13.81,"2"
"37366","Domestic work",809,10.76,"3"
"37367","Domestic work",809,11.93,"4"
"37368","Eat drink",809,11.33,"1"
"37369","Eat drink",809,12.4,"2"
"37370","Eat drink",809,20.38,"3"
"37371","Eat drink",809,11.68,"4"
"37372","Miscellaneous",809,3.45,"1"
"37373","Miscellaneous",809,4.31,"2"
"37374","Miscellaneous",809,5.31,"3"
"37375","Miscellaneous",809,4.07,"4"
"37376","Nonsocial leisure",809,6.79,"1"
"37377","Nonsocial leisure",809,8.28,"2"
"37378","Nonsocial leisure",809,9.47,"3"
"37379","Nonsocial leisure",809,5.7,"4"
"37380","Paid work",809,23.56,"1"
"37381","Paid work",809,20.95,"2"
"37382","Paid work",809,5.68,"3"
"37383","Paid work",809,24.5,"4"
"37384","Personal care",809,3.99,"1"
"37385","Personal care",809,4.88,"2"
"37386","Personal care",809,7.49,"3"
"37387","Personal care",809,3.79,"4"
"37388","Religion and volunteering",809,0.52,"1"
"37389","Religion and volunteering",809,0.77,"2"
"37390","Religion and volunteering",809,1.19,"3"
"37391","Religion and volunteering",809,0.64,"4"
"37392","School / Study",809,7.69,"1"
"37393","School / Study",809,0.5,"2"
"37394","School / Study",809,0.89,"3"
"37395","School / Study",809,8.5,"4"
"37396","Social leisure",809,13.91,"1"
"37397","Social leisure",809,17.23,"2"
"37398","Social leisure",809,17.51,"3"
"37399","Social leisure",809,13.89,"4"
"37400","Sport exercise",809,5.18,"1"
"37401","Sport exercise",809,6.1,"2"
"37402","Sport exercise",809,6.87,"3"
"37403","Sport exercise",809,4.93,"4"
"37404","TV/radio",809,8.41,"1"
"37405","TV/radio",809,8.18,"2"
"37406","TV/radio",809,10.31,"3"
"37407","TV/radio",809,7.93,"4"
"37408","Cultural leisure",810,2.63,"1"
"37409","Cultural leisure",810,2.58,"2"
"37410","Cultural leisure",810,4.14,"3"
"37411","Cultural leisure",810,2.43,"4"
"37412","Domestic work",810,12.52,"1"
"37413","Domestic work",810,13.81,"2"
"37414","Domestic work",810,10.76,"3"
"37415","Domestic work",810,11.93,"4"
"37416","Eat drink",810,11.33,"1"
"37417","Eat drink",810,12.4,"2"
"37418","Eat drink",810,20.38,"3"
"37419","Eat drink",810,11.68,"4"
"37420","Miscellaneous",810,3.45,"1"
"37421","Miscellaneous",810,4.31,"2"
"37422","Miscellaneous",810,5.31,"3"
"37423","Miscellaneous",810,4.07,"4"
"37424","Nonsocial leisure",810,6.79,"1"
"37425","Nonsocial leisure",810,8.28,"2"
"37426","Nonsocial leisure",810,9.47,"3"
"37427","Nonsocial leisure",810,5.7,"4"
"37428","Paid work",810,23.56,"1"
"37429","Paid work",810,20.95,"2"
"37430","Paid work",810,5.68,"3"
"37431","Paid work",810,24.5,"4"
"37432","Personal care",810,3.99,"1"
"37433","Personal care",810,4.88,"2"
"37434","Personal care",810,7.49,"3"
"37435","Personal care",810,3.79,"4"
"37436","Religion and volunteering",810,0.52,"1"
"37437","Religion and volunteering",810,0.77,"2"
"37438","Religion and volunteering",810,1.19,"3"
"37439","Religion and volunteering",810,0.64,"4"
"37440","School / Study",810,7.69,"1"
"37441","School / Study",810,0.5,"2"
"37442","School / Study",810,0.89,"3"
"37443","School / Study",810,8.5,"4"
"37444","Social leisure",810,13.94,"1"
"37445","Social leisure",810,17.23,"2"
"37446","Social leisure",810,17.51,"3"
"37447","Social leisure",810,13.89,"4"
"37448","Sport exercise",810,5.18,"1"
"37449","Sport exercise",810,6.1,"2"
"37450","Sport exercise",810,6.87,"3"
"37451","Sport exercise",810,4.93,"4"
"37452","TV/radio",810,8.41,"1"
"37453","TV/radio",810,8.18,"2"
"37454","TV/radio",810,10.31,"3"
"37455","TV/radio",810,7.93,"4"
"37456","Cultural leisure",811,2.75,"1"
"37457","Cultural leisure",811,2.68,"2"
"37458","Cultural leisure",811,3.94,"3"
"37459","Cultural leisure",811,2.53,"4"
"37460","Domestic work",811,11.6,"1"
"37461","Domestic work",811,14.23,"2"
"37462","Domestic work",811,10.81,"3"
"37463","Domestic work",811,12,"4"
"37464","Eat drink",811,9.32,"1"
"37465","Eat drink",811,10.98,"2"
"37466","Eat drink",811,20.83,"3"
"37467","Eat drink",811,9.1,"4"
"37468","Miscellaneous",811,3.6,"1"
"37469","Miscellaneous",811,4.31,"2"
"37470","Miscellaneous",811,4.56,"3"
"37471","Miscellaneous",811,3.52,"4"
"37472","Nonsocial leisure",811,6.97,"1"
"37473","Nonsocial leisure",811,8.85,"2"
"37474","Nonsocial leisure",811,9.22,"3"
"37475","Nonsocial leisure",811,5.58,"4"
"37476","Paid work",811,23.75,"1"
"37477","Paid work",811,20.63,"2"
"37478","Paid work",811,5.65,"3"
"37479","Paid work",811,24.85,"4"
"37480","Personal care",811,3.72,"1"
"37481","Personal care",811,4.44,"2"
"37482","Personal care",811,6.3,"3"
"37483","Personal care",811,3.94,"4"
"37484","Religion and volunteering",811,0.64,"1"
"37485","Religion and volunteering",811,0.74,"2"
"37486","Religion and volunteering",811,1.19,"3"
"37487","Religion and volunteering",811,0.62,"4"
"37488","School / Study",811,8.06,"1"
"37489","School / Study",811,0.5,"2"
"37490","School / Study",811,0.77,"3"
"37491","School / Study",811,9,"4"
"37492","Social leisure",811,14.53,"1"
"37493","Social leisure",811,17.83,"2"
"37494","Social leisure",811,17.98,"3"
"37495","Social leisure",811,14.11,"4"
"37496","Sport exercise",811,5.36,"1"
"37497","Sport exercise",811,6.57,"2"
"37498","Sport exercise",811,7.96,"3"
"37499","Sport exercise",811,5.23,"4"
"37500","TV/radio",811,9.7,"1"
"37501","TV/radio",811,8.23,"2"
"37502","TV/radio",811,10.79,"3"
"37503","TV/radio",811,9.52,"4"
"37504","Cultural leisure",812,2.73,"1"
"37505","Cultural leisure",812,2.7,"2"
"37506","Cultural leisure",812,3.94,"3"
"37507","Cultural leisure",812,2.53,"4"
"37508","Domestic work",812,11.63,"1"
"37509","Domestic work",812,14.23,"2"
"37510","Domestic work",812,10.81,"3"
"37511","Domestic work",812,12.03,"4"
"37512","Eat drink",812,9.32,"1"
"37513","Eat drink",812,10.98,"2"
"37514","Eat drink",812,20.83,"3"
"37515","Eat drink",812,9.1,"4"
"37516","Miscellaneous",812,3.57,"1"
"37517","Miscellaneous",812,4.31,"2"
"37518","Miscellaneous",812,4.54,"3"
"37519","Miscellaneous",812,3.52,"4"
"37520","Nonsocial leisure",812,6.97,"1"
"37521","Nonsocial leisure",812,8.85,"2"
"37522","Nonsocial leisure",812,9.22,"3"
"37523","Nonsocial leisure",812,5.58,"4"
"37524","Paid work",812,23.75,"1"
"37525","Paid work",812,20.63,"2"
"37526","Paid work",812,5.65,"3"
"37527","Paid work",812,24.85,"4"
"37528","Personal care",812,3.72,"1"
"37529","Personal care",812,4.44,"2"
"37530","Personal care",812,6.3,"3"
"37531","Personal care",812,3.94,"4"
"37532","Religion and volunteering",812,0.64,"1"
"37533","Religion and volunteering",812,0.74,"2"
"37534","Religion and volunteering",812,1.19,"3"
"37535","Religion and volunteering",812,0.62,"4"
"37536","School / Study",812,8.06,"1"
"37537","School / Study",812,0.5,"2"
"37538","School / Study",812,0.77,"3"
"37539","School / Study",812,9,"4"
"37540","Social leisure",812,14.55,"1"
"37541","Social leisure",812,17.83,"2"
"37542","Social leisure",812,18,"3"
"37543","Social leisure",812,14.11,"4"
"37544","Sport exercise",812,5.36,"1"
"37545","Sport exercise",812,6.57,"2"
"37546","Sport exercise",812,7.96,"3"
"37547","Sport exercise",812,5.23,"4"
"37548","TV/radio",812,9.7,"1"
"37549","TV/radio",812,8.21,"2"
"37550","TV/radio",812,10.79,"3"
"37551","TV/radio",812,9.5,"4"
"37552","Cultural leisure",813,2.73,"1"
"37553","Cultural leisure",813,2.7,"2"
"37554","Cultural leisure",813,3.94,"3"
"37555","Cultural leisure",813,2.53,"4"
"37556","Domestic work",813,11.6,"1"
"37557","Domestic work",813,14.23,"2"
"37558","Domestic work",813,10.84,"3"
"37559","Domestic work",813,12.05,"4"
"37560","Eat drink",813,9.35,"1"
"37561","Eat drink",813,10.98,"2"
"37562","Eat drink",813,20.8,"3"
"37563","Eat drink",813,9.1,"4"
"37564","Miscellaneous",813,3.57,"1"
"37565","Miscellaneous",813,4.31,"2"
"37566","Miscellaneous",813,4.54,"3"
"37567","Miscellaneous",813,3.5,"4"
"37568","Nonsocial leisure",813,6.97,"1"
"37569","Nonsocial leisure",813,8.83,"2"
"37570","Nonsocial leisure",813,9.22,"3"
"37571","Nonsocial leisure",813,5.58,"4"
"37572","Paid work",813,23.78,"1"
"37573","Paid work",813,20.63,"2"
"37574","Paid work",813,5.65,"3"
"37575","Paid work",813,24.85,"4"
"37576","Personal care",813,3.72,"1"
"37577","Personal care",813,4.44,"2"
"37578","Personal care",813,6.3,"3"
"37579","Personal care",813,3.94,"4"
"37580","Religion and volunteering",813,0.64,"1"
"37581","Religion and volunteering",813,0.74,"2"
"37582","Religion and volunteering",813,1.19,"3"
"37583","Religion and volunteering",813,0.62,"4"
"37584","School / Study",813,8.06,"1"
"37585","School / Study",813,0.5,"2"
"37586","School / Study",813,0.77,"3"
"37587","School / Study",813,9,"4"
"37588","Social leisure",813,14.53,"1"
"37589","Social leisure",813,17.88,"2"
"37590","Social leisure",813,18,"3"
"37591","Social leisure",813,14.11,"4"
"37592","Sport exercise",813,5.41,"1"
"37593","Sport exercise",813,6.57,"2"
"37594","Sport exercise",813,7.96,"3"
"37595","Sport exercise",813,5.23,"4"
"37596","TV/radio",813,9.65,"1"
"37597","TV/radio",813,8.18,"2"
"37598","TV/radio",813,10.79,"3"
"37599","TV/radio",813,9.5,"4"
"37600","Cultural leisure",814,2.73,"1"
"37601","Cultural leisure",814,2.7,"2"
"37602","Cultural leisure",814,3.94,"3"
"37603","Cultural leisure",814,2.53,"4"
"37604","Domestic work",814,11.58,"1"
"37605","Domestic work",814,14.21,"2"
"37606","Domestic work",814,10.86,"3"
"37607","Domestic work",814,12.05,"4"
"37608","Eat drink",814,9.37,"1"
"37609","Eat drink",814,10.98,"2"
"37610","Eat drink",814,20.83,"3"
"37611","Eat drink",814,9.1,"4"
"37612","Miscellaneous",814,3.57,"1"
"37613","Miscellaneous",814,4.31,"2"
"37614","Miscellaneous",814,4.54,"3"
"37615","Miscellaneous",814,3.5,"4"
"37616","Nonsocial leisure",814,6.97,"1"
"37617","Nonsocial leisure",814,8.8,"2"
"37618","Nonsocial leisure",814,9.22,"3"
"37619","Nonsocial leisure",814,5.58,"4"
"37620","Paid work",814,23.78,"1"
"37621","Paid work",814,20.63,"2"
"37622","Paid work",814,5.65,"3"
"37623","Paid work",814,24.85,"4"
"37624","Personal care",814,3.72,"1"
"37625","Personal care",814,4.46,"2"
"37626","Personal care",814,6.27,"3"
"37627","Personal care",814,3.94,"4"
"37628","Religion and volunteering",814,0.64,"1"
"37629","Religion and volunteering",814,0.74,"2"
"37630","Religion and volunteering",814,1.19,"3"
"37631","Religion and volunteering",814,0.62,"4"
"37632","School / Study",814,8.06,"1"
"37633","School / Study",814,0.5,"2"
"37634","School / Study",814,0.77,"3"
"37635","School / Study",814,9,"4"
"37636","Social leisure",814,14.53,"1"
"37637","Social leisure",814,17.9,"2"
"37638","Social leisure",814,18,"3"
"37639","Social leisure",814,14.11,"4"
"37640","Sport exercise",814,5.41,"1"
"37641","Sport exercise",814,6.57,"2"
"37642","Sport exercise",814,7.93,"3"
"37643","Sport exercise",814,5.23,"4"
"37644","TV/radio",814,9.65,"1"
"37645","TV/radio",814,8.18,"2"
"37646","TV/radio",814,10.79,"3"
"37647","TV/radio",814,9.5,"4"
"37648","Cultural leisure",815,2.73,"1"
"37649","Cultural leisure",815,2.7,"2"
"37650","Cultural leisure",815,3.94,"3"
"37651","Cultural leisure",815,2.53,"4"
"37652","Domestic work",815,11.58,"1"
"37653","Domestic work",815,14.21,"2"
"37654","Domestic work",815,10.86,"3"
"37655","Domestic work",815,12.05,"4"
"37656","Eat drink",815,9.35,"1"
"37657","Eat drink",815,10.98,"2"
"37658","Eat drink",815,20.85,"3"
"37659","Eat drink",815,9.1,"4"
"37660","Miscellaneous",815,3.62,"1"
"37661","Miscellaneous",815,4.31,"2"
"37662","Miscellaneous",815,4.54,"3"
"37663","Miscellaneous",815,3.5,"4"
"37664","Nonsocial leisure",815,6.97,"1"
"37665","Nonsocial leisure",815,8.83,"2"
"37666","Nonsocial leisure",815,9.22,"3"
"37667","Nonsocial leisure",815,5.58,"4"
"37668","Paid work",815,23.78,"1"
"37669","Paid work",815,20.63,"2"
"37670","Paid work",815,5.65,"3"
"37671","Paid work",815,24.85,"4"
"37672","Personal care",815,3.72,"1"
"37673","Personal care",815,4.46,"2"
"37674","Personal care",815,6.3,"3"
"37675","Personal care",815,3.94,"4"
"37676","Religion and volunteering",815,0.64,"1"
"37677","Religion and volunteering",815,0.74,"2"
"37678","Religion and volunteering",815,1.19,"3"
"37679","Religion and volunteering",815,0.62,"4"
"37680","School / Study",815,8.06,"1"
"37681","School / Study",815,0.5,"2"
"37682","School / Study",815,0.77,"3"
"37683","School / Study",815,9,"4"
"37684","Social leisure",815,14.53,"1"
"37685","Social leisure",815,17.88,"2"
"37686","Social leisure",815,17.98,"3"
"37687","Social leisure",815,14.11,"4"
"37688","Sport exercise",815,5.41,"1"
"37689","Sport exercise",815,6.57,"2"
"37690","Sport exercise",815,7.93,"3"
"37691","Sport exercise",815,5.23,"4"
"37692","TV/radio",815,9.62,"1"
"37693","TV/radio",815,8.18,"2"
"37694","TV/radio",815,10.76,"3"
"37695","TV/radio",815,9.5,"4"
"37696","Cultural leisure",816,2.83,"1"
"37697","Cultural leisure",816,2.75,"2"
"37698","Cultural leisure",816,3.97,"3"
"37699","Cultural leisure",816,2.58,"4"
"37700","Domestic work",816,11.51,"1"
"37701","Domestic work",816,14.06,"2"
"37702","Domestic work",816,11.18,"3"
"37703","Domestic work",816,11.93,"4"
"37704","Eat drink",816,9.05,"1"
"37705","Eat drink",816,10.86,"2"
"37706","Eat drink",816,20.83,"3"
"37707","Eat drink",816,9,"4"
"37708","Miscellaneous",816,3.47,"1"
"37709","Miscellaneous",816,4.22,"2"
"37710","Miscellaneous",816,4.31,"3"
"37711","Miscellaneous",816,3.32,"4"
"37712","Nonsocial leisure",816,6.87,"1"
"37713","Nonsocial leisure",816,8.73,"2"
"37714","Nonsocial leisure",816,9.27,"3"
"37715","Nonsocial leisure",816,5.7,"4"
"37716","Paid work",816,23.78,"1"
"37717","Paid work",816,20.68,"2"
"37718","Paid work",816,5.65,"3"
"37719","Paid work",816,24.8,"4"
"37720","Personal care",816,3.72,"1"
"37721","Personal care",816,4.49,"2"
"37722","Personal care",816,6.2,"3"
"37723","Personal care",816,3.92,"4"
"37724","Religion and volunteering",816,0.62,"1"
"37725","Religion and volunteering",816,0.77,"2"
"37726","Religion and volunteering",816,1.19,"3"
"37727","Religion and volunteering",816,0.64,"4"
"37728","School / Study",816,8.31,"1"
"37729","School / Study",816,0.5,"2"
"37730","School / Study",816,0.82,"3"
"37731","School / Study",816,9.12,"4"
"37732","Social leisure",816,14.43,"1"
"37733","Social leisure",816,17.95,"2"
"37734","Social leisure",816,17.8,"3"
"37735","Social leisure",816,13.96,"4"
"37736","Sport exercise",816,5.6,"1"
"37737","Sport exercise",816,6.77,"2"
"37738","Sport exercise",816,7.93,"3"
"37739","Sport exercise",816,5.21,"4"
"37740","TV/radio",816,9.82,"1"
"37741","TV/radio",816,8.23,"2"
"37742","TV/radio",816,10.84,"3"
"37743","TV/radio",816,9.82,"4"
"37744","Cultural leisure",817,2.85,"1"
"37745","Cultural leisure",817,2.75,"2"
"37746","Cultural leisure",817,3.97,"3"
"37747","Cultural leisure",817,2.58,"4"
"37748","Domestic work",817,11.51,"1"
"37749","Domestic work",817,14.06,"2"
"37750","Domestic work",817,11.13,"3"
"37751","Domestic work",817,11.93,"4"
"37752","Eat drink",817,9.05,"1"
"37753","Eat drink",817,10.86,"2"
"37754","Eat drink",817,20.88,"3"
"37755","Eat drink",817,8.98,"4"
"37756","Miscellaneous",817,3.45,"1"
"37757","Miscellaneous",817,4.22,"2"
"37758","Miscellaneous",817,4.31,"3"
"37759","Miscellaneous",817,3.32,"4"
"37760","Nonsocial leisure",817,6.87,"1"
"37761","Nonsocial leisure",817,8.73,"2"
"37762","Nonsocial leisure",817,9.32,"3"
"37763","Nonsocial leisure",817,5.7,"4"
"37764","Paid work",817,23.78,"1"
"37765","Paid work",817,20.7,"2"
"37766","Paid work",817,5.65,"3"
"37767","Paid work",817,24.8,"4"
"37768","Personal care",817,3.72,"1"
"37769","Personal care",817,4.49,"2"
"37770","Personal care",817,6.17,"3"
"37771","Personal care",817,3.92,"4"
"37772","Religion and volunteering",817,0.62,"1"
"37773","Religion and volunteering",817,0.77,"2"
"37774","Religion and volunteering",817,1.19,"3"
"37775","Religion and volunteering",817,0.64,"4"
"37776","School / Study",817,8.31,"1"
"37777","School / Study",817,0.5,"2"
"37778","School / Study",817,0.82,"3"
"37779","School / Study",817,9.12,"4"
"37780","Social leisure",817,14.43,"1"
"37781","Social leisure",817,17.93,"2"
"37782","Social leisure",817,17.78,"3"
"37783","Social leisure",817,14.01,"4"
"37784","Sport exercise",817,5.6,"1"
"37785","Sport exercise",817,6.77,"2"
"37786","Sport exercise",817,7.93,"3"
"37787","Sport exercise",817,5.21,"4"
"37788","TV/radio",817,9.82,"1"
"37789","TV/radio",817,8.23,"2"
"37790","TV/radio",817,10.84,"3"
"37791","TV/radio",817,9.79,"4"
"37792","Cultural leisure",818,2.85,"1"
"37793","Cultural leisure",818,2.75,"2"
"37794","Cultural leisure",818,3.97,"3"
"37795","Cultural leisure",818,2.58,"4"
"37796","Domestic work",818,11.51,"1"
"37797","Domestic work",818,14.01,"2"
"37798","Domestic work",818,11.16,"3"
"37799","Domestic work",818,11.93,"4"
"37800","Eat drink",818,9.03,"1"
"37801","Eat drink",818,10.89,"2"
"37802","Eat drink",818,20.85,"3"
"37803","Eat drink",818,8.98,"4"
"37804","Miscellaneous",818,3.47,"1"
"37805","Miscellaneous",818,4.22,"2"
"37806","Miscellaneous",818,4.31,"3"
"37807","Miscellaneous",818,3.32,"4"
"37808","Nonsocial leisure",818,6.87,"1"
"37809","Nonsocial leisure",818,8.73,"2"
"37810","Nonsocial leisure",818,9.3,"3"
"37811","Nonsocial leisure",818,5.7,"4"
"37812","Paid work",818,23.8,"1"
"37813","Paid work",818,20.7,"2"
"37814","Paid work",818,5.65,"3"
"37815","Paid work",818,24.8,"4"
"37816","Personal care",818,3.69,"1"
"37817","Personal care",818,4.49,"2"
"37818","Personal care",818,6.2,"3"
"37819","Personal care",818,3.92,"4"
"37820","Religion and volunteering",818,0.62,"1"
"37821","Religion and volunteering",818,0.77,"2"
"37822","Religion and volunteering",818,1.19,"3"
"37823","Religion and volunteering",818,0.64,"4"
"37824","School / Study",818,8.33,"1"
"37825","School / Study",818,0.5,"2"
"37826","School / Study",818,0.82,"3"
"37827","School / Study",818,9.12,"4"
"37828","Social leisure",818,14.41,"1"
"37829","Social leisure",818,17.93,"2"
"37830","Social leisure",818,17.78,"3"
"37831","Social leisure",818,14.01,"4"
"37832","Sport exercise",818,5.6,"1"
"37833","Sport exercise",818,6.77,"2"
"37834","Sport exercise",818,7.93,"3"
"37835","Sport exercise",818,5.21,"4"
"37836","TV/radio",818,9.82,"1"
"37837","TV/radio",818,8.26,"2"
"37838","TV/radio",818,10.84,"3"
"37839","TV/radio",818,9.79,"4"
"37840","Cultural leisure",819,2.85,"1"
"37841","Cultural leisure",819,2.75,"2"
"37842","Cultural leisure",819,3.97,"3"
"37843","Cultural leisure",819,2.58,"4"
"37844","Domestic work",819,11.48,"1"
"37845","Domestic work",819,14.01,"2"
"37846","Domestic work",819,11.11,"3"
"37847","Domestic work",819,11.93,"4"
"37848","Eat drink",819,9.05,"1"
"37849","Eat drink",819,10.89,"2"
"37850","Eat drink",819,20.85,"3"
"37851","Eat drink",819,8.98,"4"
"37852","Miscellaneous",819,3.47,"1"
"37853","Miscellaneous",819,4.22,"2"
"37854","Miscellaneous",819,4.31,"3"
"37855","Miscellaneous",819,3.32,"4"
"37856","Nonsocial leisure",819,6.87,"1"
"37857","Nonsocial leisure",819,8.73,"2"
"37858","Nonsocial leisure",819,9.32,"3"
"37859","Nonsocial leisure",819,5.7,"4"
"37860","Paid work",819,23.78,"1"
"37861","Paid work",819,20.7,"2"
"37862","Paid work",819,5.65,"3"
"37863","Paid work",819,24.8,"4"
"37864","Personal care",819,3.69,"1"
"37865","Personal care",819,4.49,"2"
"37866","Personal care",819,6.2,"3"
"37867","Personal care",819,3.92,"4"
"37868","Religion and volunteering",819,0.62,"1"
"37869","Religion and volunteering",819,0.77,"2"
"37870","Religion and volunteering",819,1.19,"3"
"37871","Religion and volunteering",819,0.64,"4"
"37872","School / Study",819,8.36,"1"
"37873","School / Study",819,0.5,"2"
"37874","School / Study",819,0.82,"3"
"37875","School / Study",819,9.12,"4"
"37876","Social leisure",819,14.41,"1"
"37877","Social leisure",819,17.93,"2"
"37878","Social leisure",819,17.8,"3"
"37879","Social leisure",819,14.03,"4"
"37880","Sport exercise",819,5.6,"1"
"37881","Sport exercise",819,6.77,"2"
"37882","Sport exercise",819,7.93,"3"
"37883","Sport exercise",819,5.21,"4"
"37884","TV/radio",819,9.82,"1"
"37885","TV/radio",819,8.26,"2"
"37886","TV/radio",819,10.84,"3"
"37887","TV/radio",819,9.77,"4"
"37888","Cultural leisure",820,2.85,"1"
"37889","Cultural leisure",820,2.75,"2"
"37890","Cultural leisure",820,3.99,"3"
"37891","Cultural leisure",820,2.58,"4"
"37892","Domestic work",820,11.46,"1"
"37893","Domestic work",820,14.01,"2"
"37894","Domestic work",820,11.06,"3"
"37895","Domestic work",820,11.93,"4"
"37896","Eat drink",820,9.05,"1"
"37897","Eat drink",820,10.89,"2"
"37898","Eat drink",820,20.85,"3"
"37899","Eat drink",820,8.98,"4"
"37900","Miscellaneous",820,3.5,"1"
"37901","Miscellaneous",820,4.22,"2"
"37902","Miscellaneous",820,4.31,"3"
"37903","Miscellaneous",820,3.32,"4"
"37904","Nonsocial leisure",820,6.89,"1"
"37905","Nonsocial leisure",820,8.73,"2"
"37906","Nonsocial leisure",820,9.32,"3"
"37907","Nonsocial leisure",820,5.7,"4"
"37908","Paid work",820,23.78,"1"
"37909","Paid work",820,20.7,"2"
"37910","Paid work",820,5.65,"3"
"37911","Paid work",820,24.8,"4"
"37912","Personal care",820,3.69,"1"
"37913","Personal care",820,4.49,"2"
"37914","Personal care",820,6.17,"3"
"37915","Personal care",820,3.92,"4"
"37916","Religion and volunteering",820,0.62,"1"
"37917","Religion and volunteering",820,0.77,"2"
"37918","Religion and volunteering",820,1.19,"3"
"37919","Religion and volunteering",820,0.64,"4"
"37920","School / Study",820,8.36,"1"
"37921","School / Study",820,0.5,"2"
"37922","School / Study",820,0.82,"3"
"37923","School / Study",820,9.12,"4"
"37924","Social leisure",820,14.38,"1"
"37925","Social leisure",820,17.93,"2"
"37926","Social leisure",820,17.85,"3"
"37927","Social leisure",820,14.03,"4"
"37928","Sport exercise",820,5.6,"1"
"37929","Sport exercise",820,6.77,"2"
"37930","Sport exercise",820,7.93,"3"
"37931","Sport exercise",820,5.21,"4"
"37932","TV/radio",820,9.82,"1"
"37933","TV/radio",820,8.26,"2"
"37934","TV/radio",820,10.84,"3"
"37935","TV/radio",820,9.77,"4"
"37936","Cultural leisure",821,2.88,"1"
"37937","Cultural leisure",821,2.7,"2"
"37938","Cultural leisure",821,3.92,"3"
"37939","Cultural leisure",821,2.65,"4"
"37940","Domestic work",821,11.51,"1"
"37941","Domestic work",821,14.06,"2"
"37942","Domestic work",821,11.23,"3"
"37943","Domestic work",821,11.8,"4"
"37944","Eat drink",821,8.68,"1"
"37945","Eat drink",821,10.69,"2"
"37946","Eat drink",821,20.38,"3"
"37947","Eat drink",821,8.7,"4"
"37948","Miscellaneous",821,3.25,"1"
"37949","Miscellaneous",821,4.09,"2"
"37950","Miscellaneous",821,4.22,"3"
"37951","Miscellaneous",821,3.27,"4"
"37952","Nonsocial leisure",821,7.29,"1"
"37953","Nonsocial leisure",821,8.88,"2"
"37954","Nonsocial leisure",821,9.27,"3"
"37955","Nonsocial leisure",821,5.7,"4"
"37956","Paid work",821,23.75,"1"
"37957","Paid work",821,20.68,"2"
"37958","Paid work",821,5.65,"3"
"37959","Paid work",821,24.77,"4"
"37960","Personal care",821,3.72,"1"
"37961","Personal care",821,4.34,"2"
"37962","Personal care",821,6.07,"3"
"37963","Personal care",821,3.84,"4"
"37964","Religion and volunteering",821,0.62,"1"
"37965","Religion and volunteering",821,0.74,"2"
"37966","Religion and volunteering",821,1.24,"3"
"37967","Religion and volunteering",821,0.62,"4"
"37968","School / Study",821,8.41,"1"
"37969","School / Study",821,0.5,"2"
"37970","School / Study",821,0.79,"3"
