"","av","Time","SharePerHour","diaryday"
"219","Cultural leisure",6,0.15,"4"
"220","Domestic work",6,0.02,"1"
"221","Domestic work",6,0.17,"2"
"222","Domestic work",6,0.22,"3"
"223","Domestic work",6,0.05,"4"
"224","Eat drink",6,0.22,"1"
"225","Eat drink",6,0.69,"2"
"226","Eat drink",6,0.64,"3"
"227","Eat drink",6,0.35,"4"
"228","Miscellaneous",6,18.55,"1"
"229","Miscellaneous",6,38.14,"2"
"230","Miscellaneous",6,44.19,"3"
"231","Miscellaneous",6,28.61,"4"
"232","Nonsocial leisure",6,0.1,"1"
"233","Nonsocial leisure",6,0.69,"2"
"234","Nonsocial leisure",6,1.29,"3"
"235","Nonsocial leisure",6,0.2,"4"
"236","Paid work",6,0.07,"1"
"237","Paid work",6,0.15,"2"
"238","Paid work",6,0.05,"3"
"239","Personal care",6,80.44,"1"
"240","Personal care",6,58.22,"2"
"241","Personal care",6,51.2,"3"
"242","Personal care",6,69.75,"4"
"243","Religion and volunteering",6,0.05,"1"
"244","Religion and volunteering",6,0.05,"2"
"245","Religion and volunteering",6,0.05,"3"
"246","Religion and volunteering",6,0.05,"4"
"247","School / Study",6,0.02,"3"
"248","Social leisure",6,0.2,"1"
"249","Social leisure",6,0.55,"2"
"250","Social leisure",6,0.99,"3"
"251","Social leisure",6,0.3,"4"
"252","Sport exercise",6,0.05,"2"
"253","Sport exercise",6,0.17,"3"
"254","Sport exercise",6,0.02,"4"
"255","TV/radio",6,0.3,"1"
"256","TV/radio",6,0.97,"2"
"257","TV/radio",6,1.04,"3"
"258","TV/radio",6,0.52,"4"
"259","Cultural leisure",7,0.05,"1"
"260","Cultural leisure",7,0.32,"2"
"261","Cultural leisure",7,0.12,"3"
"262","Cultural leisure",7,0.15,"4"
"263","Domestic work",7,0.02,"1"
"264","Domestic work",7,0.17,"2"
"265","Domestic work",7,0.22,"3"
"266","Domestic work",7,0.05,"4"
"267","Eat drink",7,0.22,"1"
"268","Eat drink",7,0.69,"2"
"269","Eat drink",7,0.64,"3"
"270","Eat drink",7,0.35,"4"
"271","Miscellaneous",7,18.55,"1"
"272","Miscellaneous",7,38.09,"2"
"273","Miscellaneous",7,44.16,"3"
"274","Miscellaneous",7,28.61,"4"
"275","Nonsocial leisure",7,0.1,"1"
"276","Nonsocial leisure",7,0.69,"2"
"277","Nonsocial leisure",7,1.29,"3"
"278","Nonsocial leisure",7,0.2,"4"
"279","Paid work",7,0.07,"1"
"280","Paid work",7,0.15,"2"
"281","Paid work",7,0.05,"3"
"282","Personal care",7,80.44,"1"
"283","Personal care",7,58.24,"2"
"284","Personal care",7,51.2,"3"
"285","Personal care",7,69.75,"4"
"286","Religion and volunteering",7,0.05,"1"
"287","Religion and volunteering",7,0.05,"2"
"288","Religion and volunteering",7,0.05,"3"
"289","Religion and volunteering",7,0.05,"4"
"290","School / Study",7,0.02,"3"
"291","Social leisure",7,0.2,"1"
"292","Social leisure",7,0.55,"2"
"293","Social leisure",7,0.99,"3"
"294","Social leisure",7,0.3,"4"
"295","Sport exercise",7,0.05,"2"
"296","Sport exercise",7,0.17,"3"
"297","Sport exercise",7,0.02,"4"
"298","TV/radio",7,0.3,"1"
"299","TV/radio",7,0.99,"2"
"300","TV/radio",7,1.07,"3"
"301","TV/radio",7,0.52,"4"
"302","Cultural leisure",8,0.05,"1"
"303","Cultural leisure",8,0.32,"2"
"304","Cultural leisure",8,0.12,"3"
"305","Cultural leisure",8,0.15,"4"
"306","Domestic work",8,0.02,"1"
"307","Domestic work",8,0.17,"2"
"308","Domestic work",8,0.22,"3"
"309","Domestic work",8,0.05,"4"
"310","Eat drink",8,0.22,"1"
"311","Eat drink",8,0.69,"2"
"312","Eat drink",8,0.64,"3"
"313","Eat drink",8,0.37,"4"
"314","Miscellaneous",8,18.5,"1"
"315","Miscellaneous",8,38.06,"2"
"316","Miscellaneous",8,44.14,"3"
"317","Miscellaneous",8,28.61,"4"
"318","Nonsocial leisure",8,0.1,"1"
"319","Nonsocial leisure",8,0.69,"2"
"320","Nonsocial leisure",8,1.29,"3"
"321","Nonsocial leisure",8,0.2,"4"
"322","Paid work",8,0.07,"1"
"323","Paid work",8,0.15,"2"
"324","Paid work",8,0.05,"3"
"325","Personal care",8,80.49,"1"
"326","Personal care",8,58.27,"2"
"327","Personal care",8,51.23,"3"
"328","Personal care",8,69.72,"4"
"329","Religion and volunteering",8,0.05,"1"
"330","Religion and volunteering",8,0.05,"2"
"331","Religion and volunteering",8,0.05,"3"
"332","Religion and volunteering",8,0.05,"4"
"333","School / Study",8,0.02,"3"
"334","Social leisure",8,0.2,"1"
"335","Social leisure",8,0.55,"2"
"336","Social leisure",8,0.99,"3"
"337","Social leisure",8,0.3,"4"
"338","Sport exercise",8,0.05,"2"
"339","Sport exercise",8,0.17,"3"
"340","Sport exercise",8,0.02,"4"
"341","TV/radio",8,0.3,"1"
"342","TV/radio",8,0.99,"2"
"343","TV/radio",8,1.07,"3"
"344","TV/radio",8,0.52,"4"
"345","Cultural leisure",9,0.05,"1"
"346","Cultural leisure",9,0.32,"2"
"347","Cultural leisure",9,0.12,"3"
"348","Cultural leisure",9,0.17,"4"
"349","Domestic work",9,0.02,"1"
"350","Domestic work",9,0.15,"2"
"351","Domestic work",9,0.22,"3"
"352","Domestic work",9,0.05,"4"
"353","Eat drink",9,0.22,"1"
"354","Eat drink",9,0.69,"2"
"355","Eat drink",9,0.64,"3"
"356","Eat drink",9,0.37,"4"
"357","Miscellaneous",9,18.5,"1"
"358","Miscellaneous",9,38.09,"2"
"359","Miscellaneous",9,44.11,"3"
"360","Miscellaneous",9,28.59,"4"
